purchase_date;seeding_date;source;number;genus;species;subspecies;variety;cultivar;synonym;form;ex;info;description;;;;;;;;;;;;;;
;;Atomic Plant;10b+c;Conophytum;calculus;;;;;;;Swart se Dam and Middelputs;;;;;;;;;;;;;;;
;;Atomic Plant;CR1340;Conophytum;devium;stiriiferum;;;;;;Gurubes;;;;;;;;;;;;;;;
;;Atomic Plant;40;Conophytum;jucundum;fragile;;;;;;e of Klipbok to n of Eksteenfontein;;;;;;;;;;;;;;;
;;Atomic Plant;74;Conophytum;maughanii;;;;;;;Koeriesberg;;;;;;;;;;;;;;;
;;Atomic Plant;85;Conophytum;minutum;;;;;;;Nuwerus;;;;;;;;;;;;;;;
;;Atomic Plant;87;Conophytum;obcordllum;;;germanum;;;;Het Kruis;;;;;;;;;;;;;;;
;;Atomic Plant;90;Conophytum;obcordellum;;;mundum;;;;Gifberg;;;;;;;;;;;;;;;
;;Atomic Plant;193;Conophytum;tantillum;inexpectatum;;;;;;n Umdaus;;;;;;;;;;;;;;;
;;Atomic Plant;203;Conophytum;uviforme ;decoratum;;;;;;s Bitterfontein 1,80 1;;;;;;;;;;;;;;;
;;Atomic Plant;An 3  ES3249;Anacampseros;rufescens;;;;;;;sw Swellendam;;;;;;;;;;;;;;;
;;Atomic Plant;An 249;Anacampseros;namaquensis ;;;;Houmeb Myn;;;;;;;;;;;;;;;;;;
;;Atomic Plant;An 219;Anacampseros;namaquensis ;;;;Black Face Mountain;;;;;;;;;;;;;;;;;;
;;Atomic Plant;An 123;Anacampseros;namaquensis ;;;;;;;9km n Nama Mine;;;;;;;;;;;;;;;
;;Atomic Plant;An 86;Anacampseros;namaquensis ;;;;;;;Tierberg (Garies);;;;;;;;;;;;;;;
;;Atomic Plant;An 5;Anacampseros;lancifolia ;;;;;;;nom prov s Clanwilliam, DT2487;;;;;;;;;;;;;;;
;;Atomic Plant;An 92;Anacampseros;lanceolata ;;;;;;;w Kosies;;;;;;;;;;;;;;;
;;Atomic Plant;An 173;Anacampseros;filamentosa;filamentosa;;;;;;31 km sw Prieska;;;;;;;;;;;;;;;
;;Atomic Plant;An 52;Anacampseros;baeseckei ;;;;;;;e Klipbok;;;;;;;;;;;;;;;
;;Atomic Plant;An 8;Anacampseros;baeseckei ;;;;;;;50km n Steinkopf, ES2977;;;;;;;;;;;;;;;
;;Atomic Plant;An 18;Anacampseros;comptonii;;;;;;;4 km s Eselbank (Cederberge);;;;;;;;;;;;;;;
06.09.2020;;Губинский;SH 379;Ophthalmophyllum;lydiae;;;haramoepense;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Conophytum;fridrichiae;;;;;;;r??.kv. Warnbad;;;;;;;;;;;;;;;
;;Vladimir Nesuta;SB 2146 ;Conophytum;fridrichiae;;;;;;;Valdorn;;;;;;;;;;;;;;;
;;Vladimir Nesuta;SB 1066;Conophytum;longum;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Conophytum;minutum;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;SB 806;Conophytum;pubescens;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Conophytum;triebneri;;;;;;;Poffader;;;;;;;;;;;;;;;
;;Vladimir Nesuta;CM 142;Conophytum;verrucosum;;;;;;;aff.VERRUCOSUM CM142 Sidi Barani;;;;;;;;;;;;;;;
;;Vladimir Nesuta;TS 67 (TOK67);Lithops ;amicorum;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;aucampiae;euniceae;;BELLA KATTY;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 395;Lithops ;aucampiae;;;JACKSON JADE;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;aucampiae;;;RUDESHEIM RUBY;FIREBRANDT;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 393A;Lithops ;bromfieldii;;glaudinae;EMBERS;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 206A;Lithops ;dinteri;;;DINTERGREEN;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;dorothea;;;ZORRO;;;M.G.;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;SH 1323;Lithops ;divergens;;amethystina;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 261;Lithops ;gracilidelineata;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 309;Lithops ;gracilidelineata;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 374;Lithops ;gracilidelineata;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 385;Lithops ;gracilidelineata;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 383;Lithops ;gracilidelineata;;brandbergensis;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 394;Lithops ;gracilidelineata;;brandbergensis;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 394A;Lithops ;gracilidelineata;;brandbergensis;YELLOW GREEN;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 373;Lithops ;gracilidelineata;;strei;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;gracilidelineata;;waldroniae;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 189A;Lithops ;gracilidelineata;;waldroniae;WHITE LADY;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;julii x salicola;;;;;;;julii v. fulleri X salicola cv. bacchus F1;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;julii x reticulata;;;;;;;julii v. reticulata X salicola cv. bacchus F1;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;karasmontana x salicola;;;;;;;karasmontana X salicola cv. bacchus F1;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;karasmontana;bella;;IRONSTONE;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 082;Lithops ;karasmontana;eberlanzii;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 017;Lithops ;lesliei;;rubrobrunea;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 204;Lithops ;lesliei;;rubrobrunea;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 058A;Lithops ;marmorata;;framesii;YELLOW FLOWER;;;;neust?len? f.F1;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;marmorata;;;POLEPSKY SMARAGD;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 272A;Lithops ;meyeri;;;HAMMERUBY;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 403;Lithops ;olivacea;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;PV 986;Lithops ;olivacea;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;PV 992;Lithops ;olivacea;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 081A;Lithops ;optica;;;RUBRA;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 287;Lithops ;optica;;;RUBRA;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;LMP 90A;Lithops ;optica;;;RUBRA;;;;;;;;;;;;;;;;;;;
